comparison_scope,date,run_id,subject_id,condition,target_id,target_x_deg,target_y_deg,gaze_x_deg,gaze_y_deg,marker_windows,visual_nearest_target_id,visual_target_error_deg,visual_qc_cutoff_deg,visual_qc_status
Acc 10min,2025_04_11,006,JL98,Acc 10min,4,9.600000000000001,5.7375,17.09513137254902,1.0062595588235295,3,4,8.863499895864628,5.846243924085717,robust_centroid_outlier
Acc 10min,2025_04_11,006,JL98,Acc 10min,5,0.0,-0.0,8.489513382594417,-3.8302022475369455,3,7,9.313553925880644,6.3456149987827555,target_mismatch
Acc 10min,2025_04_11,006,JL98,Acc 10min,6,-10.2,-5.400000000000001,-2.8052167517742066,-9.443394021535198,3,6,8.428039778123225,4.400708116241657,robust_centroid_outlier
Acc 10min,2025_04_11,006,JL98,Acc 10min,7,9.600000000000001,-5.400000000000001,25.755500089605732,-14.376236491935485,3,9,18.481693772606587,4.677871064780033,target_mismatch
Acc 10min,2025_04_11,006,JL98,Acc 10min,8,-21.0,-11.8125,-21.291551270480795,-9.78361863366237,3,8,2.0497223572940353,6.775425734516142,included
Acc 10min,2025_04_11,010,PW78,Acc 10min,1,-21.0,11.8125,-21.76148209058121,12.572884734986914,3,1,1.0761226321739783,6.364667618079143,included
Acc 10min,2025_04_11,010,PW78,Acc 10min,2,21.0,11.8125,20.722441511159037,14.75718468855495,3,2,2.9577367411143345,6.272710911039567,included
Acc 10min,2025_04_11,010,PW78,Acc 10min,3,-10.2,5.7375,-10.61772871962872,8.470663866707616,3,3,2.7649018075654657,6.528293120964155,included
Acc 10min,2025_04_11,010,PW78,Acc 10min,4,9.600000000000001,5.7375,9.441399565779749,9.706370716983093,3,4,3.972038376685294,5.846243924085717,included
Acc 10min,2025_04_11,010,PW78,Acc 10min,5,0.0,-0.0,0.0967912840092765,3.229204319849822,3,5,3.2306545918740546,6.3456149987827555,included
Acc 10min,2025_04_11,010,PW78,Acc 10min,6,-10.2,-5.400000000000001,-9.731597053140097,-3.1414396440217387,3,6,2.3066200818998555,4.400708116241657,included
Acc 10min,2025_04_11,010,PW78,Acc 10min,7,9.600000000000001,-5.400000000000001,10.978207019400353,-3.1211315178571426,3,7,2.6632116226895106,4.677871064780033,included
Acc 10min,2025_04_11,010,PW78,Acc 10min,8,-21.0,-11.8125,-20.27645571789219,-9.180558033441189,3,8,2.7295851046458264,6.775425734516142,included
Acc 10min,2025_04_11,010,PW78,Acc 10min,9,21.0,-11.8125,24.318662506405776,-8.984967193396226,3,9,4.359869562709885,11.87721349152409,included
Acc 10min,2025_04_12,003,MQ85,Acc 10min,1,-21.0,11.8125,-20.775042962962964,13.592151666666666,2,1,1.7938131795652315,6.364667618079143,included
Acc 10min,2025_04_12,003,MQ85,Acc 10min,2,21.0,11.8125,19.153471232876715,13.948782534246575,1,2,2.8237159123999724,6.272710911039567,included
Acc 10min,2025_04_12,003,MQ85,Acc 10min,3,-10.2,5.7375,-11.313438645066274,9.610550125184094,2,3,4.029920953134881,6.528293120964155,included
Acc 10min,2025_04_12,003,MQ85,Acc 10min,4,9.600000000000001,5.7375,10.056655191434134,9.830478850989618,2,4,4.118374659803554,5.846243924085717,included
Acc 10min,2025_04_12,003,MQ85,Acc 10min,5,0.0,-0.0,-1.4162100000000004,10.480981193181819,2,3,10.57622889010686,6.3456149987827555,target_mismatch
